6.00e+02	9.12e+02
6.01e+02	9.75e+02
6.01e+02	1.05e+03
6.02e+02	1.12e+03
6.02e+02	1.19e+03
6.03e+02	1.27e+03
6.03e+02	1.34e+03
6.04e+02	1.41e+03
6.04e+02	1.49e+03
6.05e+02	1.56e+03
6.05e+02	1.63e+03
6.06e+02	1.69e+03
6.06e+02	1.76e+03
6.07e+02	1.82e+03
6.07e+02	1.88e+03
6.08e+02	1.92e+03
6.08e+02	1.96e+03
6.09e+02	2.01e+03
6.09e+02	2.04e+03
6.10e+02	2.06e+03
6.10e+02	2.07e+03
6.11e+02	2.08e+03
6.11e+02	2.07e+03
6.12e+02	2.07e+03
6.12e+02	2.05e+03
6.13e+02	2.03e+03
6.13e+02	2.01e+03
6.14e+02	1.97e+03
6.14e+02	1.92e+03
6.15e+02	1.87e+03
6.15e+02	1.81e+03
6.16e+02	1.76e+03
6.16e+02	1.70e+03
6.17e+02	1.62e+03
6.17e+02	1.56e+03
6.18e+02	1.48e+03
6.18e+02	1.41e+03
6.19e+02	1.35e+03
6.19e+02	1.25e+03
6.20e+02	1.18e+03
6.20e+02	1.11e+03
6.21e+02	1.04e+03
6.21e+02	9.65e+02
6.22e+02	8.97e+02
6.22e+02	8.29e+02
6.23e+02	7.66e+02
6.23e+02	7.07e+02
6.24e+02	6.37e+02
6.24e+02	5.84e+02
6.25e+02	5.39e+02
6.25e+02	4.95e+02
6.26e+02	4.42e+02
6.26e+02	3.97e+02
6.27e+02	3.69e+02
6.27e+02	3.35e+02
6.28e+02	3.03e+02
6.28e+02	2.79e+02
6.29e+02	2.60e+02
6.29e+02	2.32e+02
6.30e+02	2.20e+02
6.30e+02	2.04e+02
6.31e+02	1.91e+02
6.31e+02	1.77e+02
6.32e+02	1.70e+02
6.32e+02	1.60e+02
6.33e+02	1.51e+02
6.33e+02	1.48e+02
6.34e+02	1.42e+02
6.34e+02	1.41e+02
6.35e+02	1.38e+02
6.35e+02	1.36e+02
6.36e+02	1.36e+02
6.36e+02	1.33e+02
6.37e+02	1.33e+02
6.37e+02	1.33e+02
6.38e+02	1.32e+02
6.38e+02	1.34e+02
6.39e+02	1.32e+02
6.39e+02	1.33e+02
6.40e+02	1.30e+02
6.40e+02	1.30e+02
6.41e+02	1.30e+02
6.41e+02	1.28e+02
6.42e+02	1.34e+02
6.42e+02	1.29e+02
6.43e+02	1.33e+02
6.43e+02	1.31e+02
6.44e+02	1.34e+02
6.44e+02	1.35e+02
6.45e+02	1.35e+02
6.45e+02	1.33e+02
6.46e+02	1.35e+02
6.46e+02	1.34e+02
6.47e+02	1.34e+02
6.47e+02	1.37e+02
6.48e+02	1.35e+02
6.48e+02	1.35e+02
6.49e+02	1.38e+02
6.49e+02	1.37e+02
6.50e+02	1.41e+02
6.50e+02	1.37e+02
6.51e+02	1.42e+02
6.51e+02	1.40e+02
6.52e+02	1.43e+02
6.52e+02	1.41e+02
6.53e+02	1.40e+02
6.53e+02	1.42e+02
6.54e+02	1.40e+02
6.54e+02	1.40e+02
6.55e+02	1.40e+02
6.55e+02	1.42e+02
6.56e+02	1.41e+02
6.56e+02	1.42e+02
6.57e+02	1.45e+02
6.57e+02	1.45e+02
6.58e+02	1.44e+02
6.58e+02	1.45e+02
6.59e+02	1.45e+02
6.59e+02	1.45e+02
6.60e+02	1.44e+02
6.60e+02	1.47e+02
6.61e+02	1.44e+02
6.61e+02	1.45e+02
6.62e+02	1.48e+02
6.62e+02	1.45e+02
6.63e+02	1.47e+02
6.63e+02	1.47e+02
6.64e+02	1.48e+02
6.64e+02	1.46e+02
6.65e+02	1.48e+02
6.65e+02	1.53e+02
6.66e+02	1.50e+02
6.66e+02	1.53e+02
6.67e+02	1.54e+02
6.67e+02	1.55e+02
6.68e+02	1.60e+02
6.68e+02	1.60e+02
6.69e+02	1.56e+02
6.69e+02	1.59e+02
6.70e+02	1.60e+02
6.70e+02	1.63e+02
6.71e+02	1.65e+02
6.71e+02	1.71e+02
6.72e+02	1.69e+02
6.72e+02	1.73e+02
6.73e+02	1.76e+02
6.73e+02	1.78e+02
6.74e+02	1.81e+02
6.74e+02	1.81e+02
